ConcatUF+Mun,IBGE,IBGE7,UF,Município,Região
ROAlta Floresta D'oeste,110001,1100015,RO,Alta Floresta D´oeste,Região Norte
ROAriquemes,110002,1100023,RO,Ariquemes,Região Norte
ROCabixi,110003,1100031,RO,Cabixi,Região Norte
ROCacoal,110004,1100049,RO,Cacoal,Região Norte
ROCerejeiras,110005,1100056,RO,Cerejeiras,Região Norte
ROColorado do Oeste,110006,1100064,RO,Colorado do Oeste,Região Norte
ROCorumbiara,110007,1100072,RO,Corumbiara,Região Norte
ROCosta Marques,110008,1100080,RO,Costa Marques,Região Norte
ROEspigão D'oeste,110009,1100098,RO,Espigão D´oeste,Região Norte
ROGuajará-mirim,110010,1100106,RO,Guajará-mirim,Região Norte
ROJaru,110011,1100114,RO,Jaru,Região Norte
ROJi-paraná,110012,1100122,RO,Ji-paraná,Região Norte
ROMachadinho D'oeste,110013,1100130,RO,Machadinho D´oeste,Região Norte
RONova Brasilândia D'oeste,110014,1100148,RO,Nova Brasilândia D´oeste,Região Norte
ROOuro Preto do Oeste,110015,1100155,RO,Ouro Preto do Oeste,Região Norte
ROPimenta Bueno,110018,1100189,RO,Pimenta Bueno,Região Norte
ROPorto Velho,110020,1100205,RO,Porto Velho,Região Norte
ROPresidente Médici,110025,1100254,RO,Presidente Médici,Região Norte
RORio Crespo,110026,1100262,RO,Rio Crespo,Região Norte
RORolim de Moura,110028,1100288,RO,Rolim de Moura,Região Norte
ROSanta Luzia D'oeste,110029,1100296,RO,Santa Luzia D´oeste,Região Norte
ROVilhena,110030,1100304,RO,Vilhena,Região Norte
ROSão Miguel do Guaporé,110032,1100320,RO,São Miguel do Guaporé,Região Norte
RONova Mamoré,110033,1100338,RO,Nova Mamoré,Região Norte
ROAlvorada D'oeste,110034,1100346,RO,Alvorada D´oeste,Região Norte
ROAlto Alegre Dos Parecis,110037,1100379,RO,Alto Alegre Dos Parecis,Região Norte
ROAlto Paraíso,110040,1100403,RO,Alto Paraíso,Região Norte
ROBuritis,110045,1100452,RO,Buritis,Região Norte
RONovo Horizonte do Oeste,110050,1100502,RO,Novo Horizonte do Oeste,Região Norte
ROCacaulândia,110060,1100601,RO,Cacaulândia,Região Norte
ROCampo Novo de Rondônia,110070,1100700,RO,Campo Novo de Rondônia,Região Norte
